Project Name,Renewable Technology,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),New Renewable Capacity (MW),ZIP Code,County/Province,State/Province,Georeference,Household_Income,Normalized Capacity,Environmental Score,Social Score
Talcville,Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13635,St Lawrence,NY,POINT (-75.24961 44.32655),158496.0,0.07226873767258382,7.2268737672583825,5
Black Brook Hydro_October 2021 Award,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,12912,Clinton,NY,POINT (-73.67684 44.44009),45148.0,0.07226873767258382,7.2268737672583825,60
Higley Falls*,Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13625,St Lawrence,NY,POINT (-74.94156 44.55449),187356.0,0.07226873767258382,7.2268737672583825,5
Kayuta Lake Hydro,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13338,Oneida,NY,POINT (-75.20483 43.44104),123336.0,0.07226873767258382,7.2268737672583825,5
Boralex Chateaugay,Maintenance Biomass,96.13333333333334,75.42857142857143,101.46530769230769,12920,Franklin,NY,POINT (-74.08016 44.92649),143945.0,0.07226873767258382,7.2268737672583825,5
Browns Falls*,Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13670,St Lawrence,NY,POINT (-75.07083 44.18332),155518.0,0.07226873767258382,7.2268737672583825,5
Finger Lakes,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,14850,Tompkins,NY,POINT (-76.49546 42.44051),186577.0,0.07226873767258382,7.2268737672583825,5
South Brooklyn Marine Terminal,,96.13333333333334,75.42857142857143,101.46530769230769,,,,,75829.0,0.07226873767258382,7.2268737672583825,20
Baldwinsville,Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13027,Onondaga,NY,POINT (-76.33276 43.15867),109118.0,0.07226873767258382,7.2268737672583825,5
Clean Path NY (CPNY),Wind/Solar,1168.0,75.42857142857143,101.46530769230769,,,,,46557.0,0.07226873767258382,7.2268737672583825,60
Kayuta Lake Hydro _July 2021 Award,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13338,Oneida,NY,POINT (-75.20483 43.44104),25295.0,0.07226873767258382,7.2268737672583825,90
Long Falls - Ampersand,Maintenance Hydroelectric,96.13333333333334,75.42857142857143,101.46530769230769,13619,Jefferson,NY,POINT (-75.60618 43.98008),140369.0,0.07226873767258382,7.2268737672583825,5
Howard*,Land Based Wind,96.13333333333334,75.42857142857143,101.46530769230769,14823,Steuben,NY,POINT (-77.60504 42.27),80543.0,0.07226873767258382,7.2268737672583825,10
Cohocton*,Land Based Wind,96.13333333333334,75.42857142857143,101.46530769230769,14826,Steuben,NY,POINT (-77.51062 42.50697),193603.0,0.07226873767258382,7.2268737672583825,5
Bliss,Land Based Wind,96.13333333333334,75.42857142857143,100.5,14024,Wyoming,NY,POINT (-78.2584 42.59483),125566.0,0.07158119658119659,7.158119658119659,5
Clinton Wind,Land Based Wind,96.13333333333334,75.42857142857143,100.5,12962,Clinton,NY,POINT (-73.56636 44.69294),72529.0,0.07158119658119659,7.158119658119659,20
Flint Mine Solar,Solar,96.13333333333334,75.42857142857143,100.0,12051,Greene,NY,POINT (-73.80015 42.34806),81346.0,0.07122507122507123,7.122507122507122,10
Fort Edward Solar Farm,Solar,96.13333333333334,75.42857142857143,100.0,12828,Washington,NY,POINT (-73.58658 43.26888),126355.0,0.07122507122507123,7.122507122507122,5
Harvest Hills Solar 2,Solar,96.13333333333334,75.42857142857143,100.0,13071,Cayuga,NY,POINT (-76.53868 42.66918),103216.0,0.07122507122507123,7.122507122507122,5
Mill Point Solar 2,Solar,96.13333333333334,75.42857142857143,100.0,12072,Montgomery,NY,POINT (-74.37026 42.94801),120152.0,0.07122507122507123,7.122507122507122,5
SunEast Flat Creek Solar II,Solar,96.13333333333334,75.42857142857143,100.0,12166,Montgomery,NY,POINT (-74.51427 42.89135),118585.0,0.07122507122507123,7.122507122507122,5
Alfred Oaks Solar,Solar,20.0,40.0,100.0,14806,Allegany,NY,POINT (-77.79301 42.16039),102989.0,0.07122507122507123,7.122507122507122,5
Riverside Solar,Solar,96.13333333333334,75.42857142857143,100.0,13622,Jefferson,NY,POINT (-76.13127 44.06767),104437.0,0.07122507122507123,7.122507122507122,5
Bear Ridge Solar,Solar,96.13333333333334,75.42857142857143,100.0,14094,Niagara,NY,POINT (-78.69511 43.16926),129284.0,0.07122507122507123,7.122507122507122,5
Brookside Solar,Solar,96.13333333333334,75.42857142857143,100.0,12920,Franklin,NY,POINT (-74.08016 44.92649),194896.0,0.07122507122507123,7.122507122507122,5
Valcour Wethersfield Windpark,Land Based Wind,96.13333333333334,75.42857142857143,99.79,14066,Wyoming,NY,POINT (-78.13413 42.64198),171276.0,0.07107549857549858,7.107549857549858,5
High Bridge Wind and Battery,Land Based Wind,5.0,20.0,99.0,13780,Chenango,NY,POINT (-75.47839 42.42805),30629.0,0.07051282051282051,7.051282051282051,75
Moraine Solar Energy Center,Solar,5.0,20.0,93.55,14807,Allegany,NY,POINT (-77.69597 42.39454),134431.0,0.06663105413105413,6.663105413105414,5
Bear Ridge Solar,Solar,96.13333333333334,75.42857142857143,92.98,14094,Niagara,NY,POINT (-78.69511 43.16926),79314.0,0.06622507122507124,6.622507122507123,20
Orangeville,Land Based Wind,96.13333333333334,75.42857142857143,92.8,14569,Wyoming,NY,POINT (-78.1332 42.74022),26538.0,0.0660968660968661,6.6096866096866105,90
Mohawk Solar,Solar,96.13333333333334,75.42857142857143,90.5,13317,Montgomery,NY,POINT (-74.57168 42.90691),151959.0,0.06445868945868946,6.445868945868946,5
Homer Solar Energy Center,Solar,96.13333333333334,75.42857142857143,90.0,13045,Cortland,NY,POINT (-76.17484 42.60348),66144.0,0.06410256410256411,6.4102564102564115,30
High River Energy Center,Solar,96.13333333333334,75.42857142857143,90.0,12010,Montgomery,NY,POINT (-74.18893 42.93896),171818.0,0.06410256410256411,6.4102564102564115,5
York Run Solar,Solar,96.13333333333334,75.42857142857143,90.0,14701,Chautauqua,NY,POINT (-79.2378 42.09605),88389.0,0.06410256410256411,6.4102564102564115,10
Valcour Chateaugay Windpark,Land Based Wind,96.13333333333334,75.42857142857143,87.63,12923,Clinton,NY,POINT (-73.9322 44.95524),61396.0,0.06241452991452991,6.2414529914529915,30
Cohocton,Land Based Wind,96.13333333333334,75.42857142857143,87.5,14826,Steuben,NY,POINT (-77.51062 42.50697),109241.0,0.062321937321937325,6.232193732193733,5
Ellenburg,Land Based Wind,96.13333333333334,75.42857142857143,81.0,12923,Clinton,NY,POINT (-73.9322 44.95524),129463.0,0.057692307692307696,5.769230769230769,5
Valcour Clinton Windpark,Land Based Wind,96.13333333333334,75.42857142857143,80.43,12923,Clinton,NY,POINT (-73.9322 44.95524),169312.0,0.057286324786324797,5.72863247863248,5
SunEast Tabletop Solar,Solar,96.13333333333334,75.42857142857143,80.0,13339,Montgomery,NY,POINT (-74.62332 42.93068),114723.0,0.05698005698005698,5.698005698005698,5
Trelina Solar Energy Center,Solar,96.13333333333334,75.42857142857143,80.0,13165,Seneca,NY,POINT (-76.8627 42.89895),106691.0,0.05698005698005698,5.698005698005698,5
"Trelina Solar Energy Center, LLC",Solar,96.13333333333334,75.42857142857143,79.8,14456,Ontario,NY,POINT (-76.98218 42.86642),97663.0,0.05683760683760684,5.683760683760684,10
Roaring Brook Wind,Land-based Wind,96.13333333333334,75.42857142857143,79.73,13404,Lewis,NY,POINT (-75.46901 43.73752),169190.0,0.056787749287749295,5.67877492877493,5
Arkwright Summit,Land Based Wind,96.13333333333334,75.42857142857143,78.4,14063,Chautauqua,NY,POINT (-79.33186 42.44029),150797.0,0.05584045584045585,5.584045584045585,5
Jericho Rise,Land Based Wind,96.13333333333334,75.42857142857143,77.7,12920,Franklin,NY,POINT (-74.08016 44.92649),139498.0,0.055341880341880346,5.534188034188035,5
Hardscrabble,Land Based Wind,96.13333333333334,75.42857142857143,74.0,13416,Herkimer,NY,POINT (-75.01815 43.19067),132499.0,0.05270655270655271,5.270655270655271,5
Valcour Ellenburg Windpark,Land Based Wind,96.13333333333334,75.42857142857143,69.5,12923,Clinton,NY,POINT (-73.9322 44.95524),175254.0,0.0495014245014245,4.95014245014245,5
Moss Ridge Solar,Solar,96.13333333333334,75.42857142857143,60.0,13681,St Lawrence,NY,POINT (-75.39336 44.41561),165469.0,0.042735042735042736,4.273504273504273,5
Shepherd's Run Solar,Solar,96.13333333333334,75.42857142857143,60.0,12521,Columbia,NY,POINT (-73.62149 42.15723),76159.0,0.042735042735042736,4.273504273504273,20
