Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference
12/11/2024,Non-Tier 1,Black Oak,2554,,39.95,,,,Land Based Wind,New,,,,,,Central,,,,,,14867,Tompkins,NY,Southern Tier,Cancelled,,,10,12.6,11.97,40894,40894,,,,POINT (-76.59918 42.35949)
12/11/2024,Non-Tier 1,Black River,2389,,33.00,,Yes,Yes,Biomass,,,,,,,Mohawk Valley,23780,,,,,13602,Jefferson,NY,North Country,Completed,2013,2013,10,43.26,41.1,324045,324045,,,,POINT (-75.76748 44.03764)
12/11/2024,Non-Tier 1,Bliss,1037,,14.85,,Yes,Yes,Land Based Wind,,,,,,,Genesee,323608,,,,,14024,Wyoming,NY,Finger Lakes,Completed,2008,2008,10,100.5,95.5,182590,191720,,,,POINT (-78.2584 42.59483)
12/11/2024,Tier 1,Blue Stone Solar,RESRFP17-1,,25.00,,Yes,,Solar,New,,"Blue Stone Solar, LLC","National Grid Renewables, LLC",,,Hudson Valley,,621,SEQR,,,12477,Ulster,NY,Mid-Hudson,Cancelled,,,20,19.99,19.99,27493,32991,,,,POINT (-73.95246 42.07778)
12/11/2024,Tier 1,Bluestone Wind,RESRFP17-1,,,67,Yes,,Land-based Wind,New,,"Bluestone Wind, LLC",Northland Power,,,Mohawk Valley,323821,579,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0559,,13865,Broome,NY,Southern Tier,Operational,2023,2023,20,111.8,121.8,342600,411120,,,,POINT (-75.64093 42.07398)
12/11/2024,Maintenance,Boralex Chateaugay,RPS Maintenance,,26.00,,,,Maintenance Biomass,,,,,,,North,,,,,,12920,Franklin,NY,North Country,Completed,2006,2006,10,,21,128000,128000,,,,POINT (-74.08016 44.92649)
12/11/2024,Tier 1,Branscomb Solar,RESRFP17-1,,,76.8,Yes,,Solar,New,,"Branscomb Solar, LLC",MN8 Energy,,,Capital,323811,731,SEQR,,,12834,Washington,NY,Capital Region,Operational,2021,2022,20,20,19.99,38472,46166,,,,POINT (-73.49696 43.08752)
12/11/2024,Tier 1,Brookside Solar,RESRFP23-1,,,98.42,,,Solar,New,,"Brookside Solar, LLC",AES Corporation,,,North,,880,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-00917,,12920,Franklin,NY,North Country,Under Development,,2027,20,100,100,184729,221674,,,,POINT (-74.08016 44.92649)
12/11/2024,Non-Tier 1,Browns Falls,1037,,8.00,,,,Hydroelectric,,,,,,,Mohawk Valley,24044,,,,,13670,St Lawrence,NY,North Country,Completed,2007,2008,10,0.4,0.4,1161,1277,,,,POINT (-75.07083 44.18332)
12/11/2024,Non-Tier 1,Browns Falls*,916,,1.60,,,,Hydroelectric,,,,,,,Mohawk Valley,,,,,,13670,St Lawrence,NY,North Country,Completed,2005,2006,1,,,978,1125,,,,POINT (-75.07083 44.18332)
