,Data Through Date,Eligibility,Project Name,Solicitation Name,Inflation Adjustment,Fixed REC Price,Index (O)REC Strike Price,Incremental Economic Benefits Claimed,Project Met Economic Benefits Threshold,Renewable Technology,Generation Type,Type of Existing,Counterparty,Developer Name,Energy Storage Power Capacity  (MWac),Energy Storage Energy Capacity (MWh),NYISO Zone,PTID,Interconnection Queue Number,Permit Process,Regulatory Permitting,Article VII,ZIP Code,County/Province,State/Province,REDC,Project Status,Year of Commercial Operation,Year of Delivery Start Date,Contract Duration,New Renewable Capacity (MW),Bid Capacity (MW),Bid Quantity (MWh),Max Annual Contract Quantity (MWh),P10 Annual OREC Exceedance,P50 Generation calculated by NYSERDA (MWh/yr),Transmission Capacity (HVDC),Georeference,Median Household Income
27,12/11/2024,Tier 1,Bear Ridge Solar,RESRFP23-1,,,97.8,Yes,,Solar,New,,"Bear Ridge Solar, LLC",Cypress Creek Renewables,,,West,,704.0,ORES,https://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=21-02104,,14094,Niagara,NY,Western New York,Under Development,,2026.0,20.0,92.98,93.0,156181.0,187417.0,,,,POINT (-78.69511 43.16926),61000.0
28,12/11/2024,Tier 1,Belfort Unit 3,3257,,14.84,,,,Hydroelectric,Existing,Upgrade,Erie Boulelvard Hydropower LP,Brookfield Renewable,,,Mohawk Valley,24048,,SEQR,,,13327,Lewis,NY,North Country,Operational,2015.0,2016.0,19.0,0.36,0.34,1975.0,1975.0,,,,POINT (-75.39118 43.89781),64625.0
29,12/11/2024,Non-Tier 1,Bellmont,1037,,17.75,,,,Land Based Wind,,,,,,,North,,,,,,12969,Franklin,NY,North Country,Cancelled,2009.0,,10.0,21.0,19.95,57671.0,63438.0,,,,POINT (-74.17381 44.7338),64625.0
30,12/11/2024,Non-Tier 1,Black Brook,2226,,25.0,,Yes,Yes,Hydroelectric,,,,,,,Mohawk Valley,,,,,,12912,Clinton,NY,North Country,Completed,2011.0,2011.0,10.0,0.64,0.61,1900.0,1900.0,,,,POINT (-73.67684 44.44009),64625.0
31,12/11/2024,Maintenance,Black Brook Hydro_October 2021 Award,Tier 2 - Maintenance,,22.57,,,,Maintenance Hydroelectric,,,,,,,North,,,,,,12912,Clinton,NY,North Country,Operational,2021.0,2021.0,3.0,,0.64,1851.0,1851.0,,,,POINT (-73.67684 44.44009),64625.0
32,12/11/2024,Non-Tier 1,Black Oak,2554,,39.95,,,,Land Based Wind,New,,,,,,Central,,,,,,14867,Tompkins,NY,Southern Tier,Cancelled,,,10.0,12.6,11.97,40894.0,40894.0,,,,POINT (-76.59918 42.35949),64625.0
33,12/11/2024,Non-Tier 1,Black River,2389,,33.0,,Yes,Yes,Biomass,,,,,,,Mohawk Valley,23780,,,,,13602,Jefferson,NY,North Country,Completed,2013.0,2013.0,10.0,43.26,41.1,324045.0,324045.0,,,,POINT (-75.76748 44.03764),64625.0
34,12/11/2024,Non-Tier 1,Bliss,1037,,14.85,,Yes,Yes,Land Based Wind,,,,,,,Genesee,323608,,,,,14024,Wyoming,NY,Finger Lakes,Completed,2008.0,2008.0,10.0,100.5,95.5,182590.0,191720.0,,,,POINT (-78.2584 42.59483),64625.0
35,12/11/2024,Tier 1,Blue Stone Solar,RESRFP17-1,,25.0,,Yes,,Solar,New,,"Blue Stone Solar, LLC","National Grid Renewables, LLC",,,Hudson Valley,,621.0,SEQR,,,12477,Ulster,NY,Mid-Hudson,Cancelled,,,20.0,19.99,19.99,27493.0,32991.0,,,,POINT (-73.95246 42.07778),64625.0
36,12/11/2024,Tier 1,Bluestone Wind,RESRFP17-1,,,67.0,Yes,,Land-based Wind,New,,"Bluestone Wind, LLC",Northland Power,,,Mohawk Valley,323821,579.0,Article 10,http://documents.dps.ny.gov/public/MatterManagement/CaseMaster.aspx?MatterCaseNo=16-F-0559,,13865,Broome,NY,Southern Tier,Operational,2023.0,2023.0,20.0,111.8,121.8,342600.0,411120.0,,,,POINT (-75.64093 42.07398),64625.0
